Product_ID,Parent_ID,Category,Category_Slug,Name,Product_Slug,Price,Sale_Price,Volume_Size,Is_Skincare,Skin_Type_Target,Main_Concern,Key_Ingredients,Description_Short,How_To_Use,Status,Stock_Quantity,Full_Description,Description_Images,Thumbnail_Images,Gallery_Images
PRD-MK-RED,SA,Cushion,cushion,Tirtir Mask Fit Red Cushion,mask-fit-red-cushion,35.00,24.00,18g,FALSE,"Normal, Combination","High Coverage, Satin Finish","Astaxanthin, Propolis, Hibiscus",#1 Best-seller. Provides 72-hour coverage with a Satin finish. Perfect for normal to combination skin.,Press the puff into the sponge and pat gently onto the face. Apply a second layer for higher coverage.,In Stock,9999,The legendary #1 best-seller in Japan. This cushion offers powerful 72-hour coverage with a sleek Satin finish. Enriched with Hibiscus and Red Algae extract (Astaxanthin) to maintain skin radiance and prevent oxidation. The unique egg-shaped puff allows for precise application around the nose and eyes.,"[""assets/images/products/PRD-MK-RED/Description-Images/1.webp"",""assets/images/products/PRD-MK-RED/Description-Images/2.webp"",""assets/images/products/PRD-MK-RED/Description-Images/3.webp"",""assets/images/products/PRD-MK-RED/Description-Images/4.webp"",""assets/images/products/PRD-MK-RED/Description-Images/5.webp"",""assets/images/products/PRD-MK-RED/Description-Images/6.webp""]",assets/images/products/PRD-MK-RED/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-RED/Main-Images/1.webp"",""assets/images/products/PRD-MK-RED/Main-Images/2.webp"",""assets/images/products/PRD-MK-RED/Main-Images/3.webp"",""assets/images/products/PRD-MK-RED/Main-Images/4.webp"",""assets/images/products/PRD-MK-RED/Main-Images/5.webp"",""assets/images/products/PRD-MK-RED/Main-Images/6.webp"",""assets/images/products/PRD-MK-RED/Main-Images/7.webp""]"
PRD-MK-PINK,MA,Cushion,cushion,Tirtir Mask Fit All-Cover Cushion,mask-fit-all-cover-cushion,35.00,24.00,18g,FALSE,"Oily, Combination","High Coverage, Matte Finish","Niacinamide, Sea Daffodil",A high-coverage cushion with a velvety Matte finish. Controls oil effectively for up to 72 hours.,Tap lightly onto skin for high coverage. Focus on the T-zone if you have oily skin. No powder needed.,In Stock,9999,"Designed for those who need maximum coverage with a Velvety Matte finish. It effectively covers blemishes, redness, and pores while controlling excess sebum for up to 72 hours. Contains Niacinamide to brighten skin over time. Transfer-proof and long-wearing.","[""assets/images/products/PRD-MK-PINK/Description-Images/1.webp"",""assets/images/products/PRD-MK-PINK/Description-Images/2.webp"",""assets/images/products/PRD-MK-PINK/Description-Images/3.webp"",""assets/images/products/PRD-MK-PINK/Description-Images/4.webp"",""assets/images/products/PRD-MK-PINK/Description-Images/5.webp"",""assets/images/products/PRD-MK-PINK/Description-Images/6.webp""]",assets/images/products/PRD-MK-PINK/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-PINK/Main-Images/1.webp"",""assets/images/products/PRD-MK-PINK/Main-Images/2.webp"",""assets/images/products/PRD-MK-PINK/Main-Images/3.webp"",""assets/images/products/PRD-MK-PINK/Main-Images/4.webp"",""assets/images/products/PRD-MK-PINK/Main-Images/5.webp"",""assets/images/products/PRD-MK-PINK/Main-Images/6.webp"",""assets/images/products/PRD-MK-PINK/Main-Images/7.webp""]"
PRD-MK-AURA,DE,Cushion,cushion,Tirtir Mask Fit Aura Cushion,mask-fit-aura-cushion,35.00,24.00,18g,FALSE,"Dry, Normal","Glow, Dewy Finish","Hyaluronic Acid, Birch Sap","Creates a breathable, water-glow Dewy finish. Deeply hydrates dry skin for a radiant look.",Apply generously for a glass-skin effect. Can be layered without looking cakey.,In Stock,9999,"A glow-boosting cushion that creates a breathable, water-glow Dewy finish. Infused with White Hyaluronic Acid and Birch Sap to deeply hydrate dry skin from within. Provides natural coverage that looks like healthy, radiant skin.","[""assets/images/products/PRD-MK-AURA/Description-Images/1.webp"",""assets/images/products/PRD-MK-AURA/Description-Images/2.webp"",""assets/images/products/PRD-MK-AURA/Description-Images/3.webp"",""assets/images/products/PRD-MK-AURA/Description-Images/4.webp"",""assets/images/products/PRD-MK-AURA/Description-Images/5.webp"",""assets/images/products/PRD-MK-AURA/Description-Images/6.webp""]",assets/images/products/PRD-MK-AURA/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-AURA/Main-Images/1.webp"",""assets/images/products/PRD-MK-AURA/Main-Images/2.webp"",""assets/images/products/PRD-MK-AURA/Main-Images/3.webp"",""assets/images/products/PRD-MK-AURA/Main-Images/4.webp"",""assets/images/products/PRD-MK-AURA/Main-Images/5.webp"",""assets/images/products/PRD-MK-AURA/Main-Images/6.webp"",""assets/images/products/PRD-MK-AURA/Main-Images/7.webp""]"
PRD-MK-BASE-01,LINE-BASE,Primer,primer,Mask Fit Tone Up Essence,mask-fit-tone-up-essence,28.00,20.00,30ml,FALSE,"Dull, All Types","Brightening, Priming","Coconut Milk, Peach Extract","(Beige) A moisture-packed primer that corrects skin tone for a natural ""naked skin"" look.",Apply a thin layer before cushion foundation. Can be worn alone on light makeup days.,In Stock,9999,"(Beige) An all-in-one primer and tone-up essence. Contains Coconut Milk and Peach Extract to hydrate and blur pores. Provides a natural beige tint that evens out skin tone for a ""naked skin"" look. SPF 30 PA++ protection included.",[],assets/images/products/PRD-MK-BASE-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-BASE-01/Main-Images/1.webp"",""assets/images/products/PRD-MK-BASE-01/Main-Images/2.webp"",""assets/images/products/PRD-MK-BASE-01/Main-Images/3.webp"",""assets/images/products/PRD-MK-BASE-01/Main-Images/4.webp""]"
PRD-MK-TINT-01,LINE-WATER,Tint,tint,Waterism Glow Tint,waterism-glow-tint,15.00,12.75,4g,FALSE,All Skin Types,"Hydrating, Glowlasting","Diisostearyl Malate, Aqua/Water/Eau","Hydrating lip tint delivers a plumping effect, dazzling shine, and up to 12 hours of continuous moisture.",Press the applicator onto lips and dab gently for a natural glow. Layer once more to intensify color and shine.,In Stock,9999,"Experience the perfect blend of hydration and shine with the TIRTIR Waterism Glow Tint. This hydrating lip tint delivers a plumping effect, dazzling shine, and up to 12 hours of continuous moisture. With 9 natural shades to enhance your beauty, it’s the ultimate accessory for lips that look and feel irresistibly soft, smooth, and radiant.","[""assets/images/products/PRD-MK-TINT-01/Description-Images/1.webp"",""assets/images/products/PRD-MK-TINT-01/Description-Images/2.webp"",""assets/images/products/PRD-MK-TINT-01/Description-Images/3.webp"",""assets/images/products/PRD-MK-TINT-01/Description-Images/4.webp""]",assets/images/products/PRD-MK-TINT-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-TINT-01/Main-Images/1.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/2.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/3.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/4.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/5.webp""]"
PRD-MK-BALM-01,LINE-MELT,Balm,balm,Waterism Glow Melting Balm,waterism-glow-melting-balm,15.00,12.75,4g,FALSE,All Skin Types,"Soft Melting, Glowlasting","Diisostearyl Malate, Aqua/Water/Eau","Provides long-lasting moisture, a dazzling shine, and a 3D volume effect for a radiant, healthy glow.",Glide directly onto lips and layer as needed for enhanced shine and hydration.,In Stock,9999,"Achieve soft, plump lips with the TIRTIR Waterism Glow Melting Balm, a hydrating lip balm that provides long-lasting moisture, a dazzling shine, and a 3D volume effect for a radiant, healthy glow. This lightweight balm is perfect for those who want hydrated, glossy lips in one effortless step.",[],assets/images/products/PRD-MK-BALM-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-BALM-01/Main-Images/1.webp"",""assets/images/products/PRD-MK-BALM-01/Main-Images/2.webp"",""assets/images/products/PRD-MK-BALM-01/Main-Images/3.webp"",""assets/images/products/PRD-MK-BALM-01/Main-Images/4.webp"",""assets/images/products/PRD-MK-BALM-01/Main-Images/5.webp"",""assets/images/products/PRD-MK-BALM-01/Main-Images/6.webp""]"
PRD-MK-TINT-02,LINE-MINI,Tint,tint,Mini Waterism Glow Tint,mini-waterism-glow-tint,8.00,8.00,1.8g,FALSE,All Skin Types,"Water-volumizing, Glowlasting","Diisostearyl Malate, Aqua/Water/Eau","Enhances your natural beauty and comes in a convenient mini size, perfect for travel or on-the-go touch-ups","Apply evenly onto lips using the applicator and layer to build color, shine, and hydration as desired.",In Stock,9999,"The TIRTIR Mini Waterism Glow Tint is a hydrating lip tint that delivers 12 hours of continuous moisture, a plumping effect, and a radiant shine. Available in 30 natural shades, it enhances your natural beauty and comes in a convenient mini size, perfect for travel or on-the-go touch-ups!","[""assets/images/products/PRD-MK-TINT-01/Description-Images/1.webp"",""assets/images/products/PRD-MK-TINT-01/Description-Images/2.webp"",""assets/images/products/PRD-MK-TINT-01/Description-Images/3.webp"",""assets/images/products/PRD-MK-TINT-01/Description-Images/4.webp""]",assets/images/products/PRD-MK-TINT-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-TINT-01/Main-Images/1.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/2.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/3.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/4.webp"",""assets/images/products/PRD-MK-TINT-01/Main-Images/5.webp""]"
PRD-MK-BALM-02,LINE-MELLOW,Balm,balm,Water Mellow Lip Balm,water-mellow-lip-balm,15.00,12.75,4g,FALSE,All Skin Types,"Watercolor, Glowlasting","Hydrogenated Polyisobutene, Bis-Behenyl/Iso stearyl/Phytosteryl Dimer Dilino leyl Dimer Dilinoleate","Designed to keep your lips soft, smooth, and nourished","Apply directly to lips for instant hydration and a sheer, glossy tint; reapply as needed throughout the day.",In Stock,9999,"Transform your lip care routine with the TIRTIR Water Mellow Lip Balm, a luxurious, hydrating balm that delivers a watercolor-like tint with a glossy, non-sticky finish. Designed to keep your lips soft, smooth, and nourished, this balm is the ultimate everyday essential for achieving radiant, natural-looking lips with a touch of shine.","[""assets/images/products/PRD-MK-BALM-02/Description-Images/1.webp"",""assets/images/products/PRD-MK-BALM-02/Description-Images/2.webp"",""assets/images/products/PRD-MK-BALM-02/Description-Images/3.webp"",""assets/images/products/PRD-MK-BALM-02/Description-Images/4.webp""]",assets/images/products/PRD-MK-BALM-02/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-BALM-02/Main-Images/1.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/2.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/3.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/4.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/5.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/6.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/7.webp"",""assets/images/products/PRD-MK-BALM-02/Main-Images/8.webp""]"
PRD-MK-FIXER,LINE-FIXER,Setting Spray,setting-spray,Mask Fit Make Up Fixer,mask-fit-make-up-fixer,22.00,16.00,80ml,FALSE,All Skin Types,Makeup Longevity,Centella Asiatica,Keeps makeup fresh and smudge-proof all day. Essential for Cushion users.,Shake well. Spray 20-30cm away from face in an 'X' and 'T' motion after makeup. Let dry naturally.,In Stock,9999,A fine-mist setting spray that locks makeup in place all day. Creates a lightweight polymer film to prevent transfer and smudging (mask-proof). Contains Centella Asiatica to keep skin calm and hydrated underneath makeup.,"[""assets/images/products/PRD-MK-FIXER/Description-Images/1.webp"",""assets/images/products/PRD-MK-FIXER/Description-Images/2.webp"",""assets/images/products/PRD-MK-FIXER/Description-Images/3.webp"",""assets/images/products/PRD-MK-FIXER/Description-Images/4.webp""]",assets/images/products/PRD-MK-FIXER/Main-Images/thumb.webp,"[""assets/images/products/PRD-MK-FIXER/Main-Images/1.webp"",""assets/images/products/PRD-MK-FIXER/Main-Images/2.webp"",""assets/images/products/PRD-MK-FIXER/Main-Images/3.webp"",""assets/images/products/PRD-MK-FIXER/Main-Images/4.webp"",""assets/images/products/PRD-MK-FIXER/Main-Images/5.webp"",""assets/images/products/PRD-MK-FIXER/Main-Images/6.webp""]"
PRD-SK-CER-01,LINE-CER,Skincare,cream,Ceramic Cream,ceramic-cream,42.00,32.00,50ml,TRUE,"Very Dry, Sensitive","Deep Moisture, Soothing","Polyglutamic Acid, Shea Butter",Rich texture cream that melts into skin to build a strong ceramic moisture barrier.,Warm a small amount between fingers and press gently into the skin as the last step of your routine.,In Stock,9999,"A rich, pottery-smooth cream that builds a strong moisture barrier. Formulated with Polyglutamic Acid and Shea Butter to lock in hydration for 24 hours. Ideal for very dry or compromised skin that needs intensive repair and protection against harsh weather.","[""assets/images/products/PRD-SK-CER-01/Description-Images/1.webp"",""assets/images/products/PRD-SK-CER-01/Description-Images/2.webp"",""assets/images/products/PRD-SK-CER-01/Description-Images/3.webp"",""assets/images/products/PRD-SK-CER-01/Description-Images/4.webp"",""assets/images/products/PRD-SK-CER-01/Description-Images/5.webp"",""assets/images/products/PRD-SK-CER-01/Description-Images/6.webp""]",assets/images/products/PRD-SK-CER-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-CER-01/Main-Images/1.webp"",""assets/images/products/PRD-SK-CER-01/Main-Images/2.webp"",""assets/images/products/PRD-SK-CER-01/Main-Images/3.webp"",""assets/images/products/PRD-SK-CER-01/Main-Images/4.webp"",""assets/images/products/PRD-SK-CER-01/Main-Images/5.webp"",""assets/images/products/PRD-SK-CER-01/Main-Images/6.webp""]"
PRD-SK-COL-01,LINE-COL,Skincare,mask,Collagen Core Glow Mask,collagen-core-glow-mask,29.00,21.00,80ml,TRUE,"Mature, Dull","Lifting, Bubble Peeling","Vegan Collagen, Glutathione",A no-wash bubble mask that provides a peeling effect and lifting glow.,Shake can. Dispense foam into hands and apply to face. Let bubbles absorb (do not rinse). Follow with makeup.,Out of Stock,0,"A no-wash aesthetic bubble mask. Dispenses rich bubbles containing Vegan Collagen and Glutathione that gently exfoliate dead skin cells and infuse elasticity. Provides a ""lifting"" effect and instant glass-skin glow in just 5 minutes.",[],assets/images/products/PRD-SK-COL-01/Main-Images/thumb.webp,[]
